,tdx30_SantaCatarina,tdx30_slope_SantaCatarina
1101,1.46227,0.07460561
1102,761.5014,18.74295
1103,208.8347,13.86274
1104,4.810382,0.9191549
1105,644.7675,8.809555
1106,431.9928,13.50542
1107,33.49381,16.94483
1108,73.95017,21.23897
1109,344.6072,3.808557
1110,837.0558,15.30923
1111,326.299,19.36316
1112,385.893,14.60218
1113,299.4806,23.6594
1114,91.54247,12.52935
1115,514.7345,10.25484
1116,436.3815,12.36575
1117,797.2319,21.57336
1118,362.3497,8.390356
1119,67.22285,24.412
1120,477.9708,22.2688
1121,169.4353,22.91024
1122,126.9044,35.53694
1123,183.9458,26.10171
1124,95.87634,14.87681
1125,712.7142,20.19758
1126,340.8088,19.2672
1127,625.0262,16.04952
1128,199.4932,22.45388
1129,513.1531,10.87594
1130,58.17497,10.05015
1131,61.70581,2.112899
1132,169.6323,31.45228
1133,142.7834,9.954536
1134,696.2757,23.40401
