,aw3d30_wgs84_Barcelos,aw3d30_slope_Barcelos
1024,15.54115848,7.870744
1025,NaN,NaN
1026,42.50547611,1.042183
1027,46.27564021,1.388315
1028,NaN,NaN
1029,46.05709282,2.323861
1030,NaN,NaN
1031,NaN,NaN
1032,NaN,NaN
1033,47.18246709,7.264334
1034,42.47549471,2.196605
1035,47.11503152,1.182337
1036,23.17005734,4.215492
1037,43.44769022,1.35602
1038,43.72184433,1.641761
1039,NaN,NaN
1040,44.41112913,4.290051
1041,31.85916931,6.827813
1042,24.5048011,2.796236
1043,30.08114597,1.354091
1044,NaN,NaN
1045,34.62103191,1.042215
1046,33.25851993,5.136368
1047,37.80290018,0.9322072
1048,45.02908996,3.01841
1049,46.21815582,1.647904
1050,44.50582214,1.920637
1051,NaN,NaN
1052,NaN,NaN
1053,NaN,NaN
1054,44.31376167,3.241615
1055,39.72903914,2.097908
1056,14.00648461,2.641713
1057,NaN,NaN
1058,41.55635959,0.6561624
1059,NaN,NaN
1060,31.3037472,0.3298192
1061,NaN,NaN
1062,32.97972085,1.041462
1063,NaN,NaN
1064,NaN,NaN
1065,NaN,NaN
1066,NaN,NaN
1067,NaN,NaN
1068,46.38921739,2.64959
1069,46.87566917,1.474197
1070,47.55435771,1.357966
1071,NaN,NaN
1072,47.1837541,1.647884
1073,20.24412711,0.329826
1074,23.37886862,0.7361105
1075,NaN,NaN
1076,52.53043836,1.357976
1077,38.08065993,3.3004
1078,44.37758878,6.337399
1079,44.47928616,2.375858
1080,15.69042948,1.31512
1081,35.77485636,2.641821
1082,23.16828053,NaN
1083,49.61414755,2.319746
1084,48.2531119,1.036163
1085,44.55918865,1.772574
1086,32.82262909,0.9870737
1087,NaN,NaN
1088,NaN,NaN
1089,NaN,NaN
1090,40.70141767,3.015948
1091,46.91130026,3.974757
